STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/22/18,47,56,40
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/23/18,50,57,45
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/24/18,51,56,46
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/25/18,48,56,43
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/26/18,49,57,43
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/27/18,49,58,42
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/28/18,50,60,43
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/29/18,50,62,43
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/30/18,48,58,42
USR0000CBAR,"BARNABY CALIFORNIA, CA US",12/31/18,47,56,40
